project_id,name,domain,github_repo,ecosystem,package,homepage,description,state,license
automotive.autowrx,Eclipse Autowrx,docs.digital.auto,,,,https://docs.digital.auto/,"Eclipse Autowrx is the open source implementation of digital.auto (http://digital.auto), an industry-wide initiative enabling the automotive industry to establish a new, digital-first approach for the",Incubating,The MIT License (MIT)
automotive.bfb,Eclipse Backend function Bindings (BfB),projects.eclipse.org,,,,https://projects.eclipse.org/projects/automotive.bfb,"The Eclipse BfB project provides a protocol and technology agnostic interface specification in the ecosystem of mobility and automotive applications.
The Eclipse BfB specification is maintained in a..",Archived,Apache Software License 2.0
automotive.bfb,Eclipse Backend function Bindings (BfB),projects.eclipse.org,,,,https://projects.eclipse.org/projects/automotive.bfb,"The Eclipse BfB project provides a protocol and technology agnostic interface specification in the ecosystem of mobility and automotive applications.
The Eclipse BfB specification is maintained in a..",Archived,Apache Software License 2.0
automotive.bluechi,Eclipse BlueChi™,projects.eclipse.org,,,,https://projects.eclipse.org/projects/automotive.bluechi,Eclipse BlueChi™ is a deterministic multi-node service controller with a focus on highly regulated ecosystems. It is written in C and integrates seamless with systemd via its D-Bus API relaying D-Bus.,Regular,GNU Lesser General Public License v2.1 or later
automotive.bluechi,Eclipse BlueChi™,projects.eclipse.org,,,,https://projects.eclipse.org/projects/automotive.bluechi,Eclipse BlueChi™ is a deterministic multi-node service controller with a focus on highly regulated ecosystems. It is written in C and integrates seamless with systemd via its D-Bus API relaying D-Bus.,Regular,GNU Lesser General Public License v2.1 or later
automotive.chariott,Eclipse Chariott,projects.eclipse.org,,,,https://projects.eclipse.org/projects/automotive.chariott,The Eclipse Chariott project aims to simplify and enhance in-vehicle software developer productivity by providing a metadata-driven middleware/abstraction layer that allows modern application...,Incubating,The MIT License (MIT)
automotive.chariott,Eclipse Chariott,projects.eclipse.org,,,,https://projects.eclipse.org/projects/automotive.chariott,The Eclipse Chariott project aims to simplify and enhance in-vehicle software developer productivity by providing a metadata-driven middleware/abstraction layer that allows modern application...,Incubating,The MIT License (MIT)
automotive.cloe,Eclipse Cloe™,projects.eclipse.org,,,,https://projects.eclipse.org/projects/automotive.cloe,"Eclipse Cloe™ provides an enhanced middleware solution for closed-loop simulations, with a focus on functional software tests on system level. Cloe is used as a development tool for interactive and...",Incubating,Apache Software License 2.0
automotive.cloe,Eclipse Cloe™,projects.eclipse.org,,,,https://projects.eclipse.org/projects/automotive.cloe,"Eclipse Cloe™ provides an enhanced middleware solution for closed-loop simulations, with a focus on functional software tests on system level. Cloe is used as a development tool for interactive and...",Incubating,Apache Software License 2.0
automotive.dco,Eclipse SDV Developer Console,projects.eclipse.org,,,,https://projects.eclipse.org/projects/automotive.dco,Eclipse SDV Developer Console (DCO) integrates necessary sources for software lifecycle management and there by optimizes the complete process from development to release of software. The core of DCO.,Incubating,Apache Software License 2.0
automotive.dco,Eclipse SDV Developer Console,projects.eclipse.org,,,,https://projects.eclipse.org/projects/automotive.dco,Eclipse SDV Developer Console (DCO) integrates necessary sources for software lifecycle management and there by optimizes the complete process from development to release of software. The core of DCO.,Incubating,Apache Software License 2.0
automotive.dco.wss-packer,Eclipse Wheel Speed Sensor Signal Packer,projects.eclipse.org,,,,https://projects.eclipse.org/projects/automotive.dco.wss-packer,"Making Eclipse Wheel Speed Sensor Signal Packer a lossless packing SW-module available as FOSS will avoid a multitude of proprietary solutions. Instead, a generic packer SW-module shall be made...",Incubating,Apache Software License 2.0
automotive.dco.wss-packer,Eclipse Wheel Speed Sensor Signal Packer,projects.eclipse.org,,,,https://projects.eclipse.org/projects/automotive.dco.wss-packer,"Making Eclipse Wheel Speed Sensor Signal Packer a lossless packing SW-module available as FOSS will avoid a multitude of proprietary solutions. Instead, a generic packer SW-module shall be made...",Incubating,Apache Software License 2.0
automotive.ecal,Eclipse eCAL (enhanced Communication Abstraction Layer),eclipse-ecal.github.io,,,,https://eclipse-ecal.github.io/ecal/,"Eclipse eCAL™ (enhanced Communication Abstraction Layer) provides a middleware that enables scalable, high performance interprocess communication on a single computer node or between different nodes..",Incubating,Apache Software License 2.0
automotive.ecal,Eclipse eCAL (enhanced Communication Abstraction Layer),eclipse-ecal.github.io,,,,https://eclipse-ecal.github.io/ecal/,"Eclipse eCAL™ (enhanced Communication Abstraction Layer) provides a middleware that enables scalable, high performance interprocess communication on a single computer node or between different nodes..",Incubating,Apache Software License 2.0
automotive.ecsp,Eclipse Connected Services Platform,eclipse-ecsp.github.io,,,,https://eclipse-ecsp.github.io/ecsp-website/,"The Eclipse Connected Services Platform (ECSP) provides a core platform to serve as the foundation for developing connected car systems.
The  Eclipse CSP provides following layers and components:

Off",Incubating,Apache Software License 2.0
automotive.ecsp,Eclipse Connected Services Platform,eclipse-ecsp.github.io,,,,https://eclipse-ecsp.github.io/ecsp-website/,"The Eclipse Connected Services Platform (ECSP) provides a core platform to serve as the foundation for developing connected car systems.
The  Eclipse CSP provides following layers and components:

Off",Incubating,Apache Software License 2.0
automotive.heimlig,Eclipse Heimlig,projects.eclipse.org,,,,https://projects.eclipse.org/projects/automotive.heimlig,"Eclipse Heimlig is a Hardware Security Module (HSM) firmware for embedded platforms written in Rust.
As an HSM, Eclipse Heimlig typically runs on dedicated hardware and provides cryptographic services",Incubating,Apache Software License 2.0
automotive.heimlig,Eclipse Heimlig,projects.eclipse.org,,,,https://projects.eclipse.org/projects/automotive.heimlig,"Eclipse Heimlig is a Hardware Security Module (HSM) firmware for embedded platforms written in Rust.
As an HSM, Eclipse Heimlig typically runs on dedicated hardware and provides cryptographic services",Incubating,Apache Software License 2.0
automotive.hephaestus,Eclipse SDV Hephaestus,projects.eclipse.org,,,,https://projects.eclipse.org/projects/automotive.hephaestus,"Eclipse SDV Hephaestus ensures low efforts for contributors to participate in a Eclipse SDV project, the implementation is based on open source tools. The starting point for this project is the...",Incubating,Apache Software License 2.0
automotive.hephaestus,Eclipse SDV Hephaestus,projects.eclipse.org,,,,https://projects.eclipse.org/projects/automotive.hephaestus,"Eclipse SDV Hephaestus ensures low efforts for contributors to participate in a Eclipse SDV project, the implementation is based on open source tools. The starting point for this project is the...",Incubating,Apache Software License 2.0
automotive.ibeji,Eclipse Ibeji,projects.eclipse.org,,,,https://projects.eclipse.org/projects/automotive.ibeji,The automotive and mobility ecosystem is facing major challenges in modernizing and streamlining in-vehicle software development as well as in software life cycle management. The Eclipse Ibeji project,Incubating,The MIT License (MIT)
automotive.ibeji,Eclipse Ibeji,projects.eclipse.org,,,,https://projects.eclipse.org/projects/automotive.ibeji,The automotive and mobility ecosystem is facing major challenges in modernizing and streamlining in-vehicle software development as well as in software life cycle management. The Eclipse Ibeji project,Incubating,The MIT License (MIT)
automotive.kuksa,Eclipse Kuksa,eclipse.org,eclipse/kuksa,,,https://www.eclipse.org/kuksa/,"The open Eclipse KUKSA™ project aims to provide shared building blocks for the Software Defined Vehicles that can be shared across the industry.
A modern car contains more than 200 millions lines of..",Incubating,Apache Software License 2.0
automotive.kuksa,Eclipse Kuksa,eclipse.org,eclipse/kuksa,,,https://www.eclipse.org/kuksa/,"The open Eclipse KUKSA™ project aims to provide shared building blocks for the Software Defined Vehicles that can be shared across the industry.
A modern car contains more than 200 millions lines of..",Incubating,Apache Software License 2.0
automotive.leda,Eclipse Leda,eclipse-leda.github.io,,,,https://eclipse-leda.github.io/leda/,"In the ambition to build a technology ecosystem for software-defined vehicle, one of the main challengs will be the combination of the diverse components into a coherent and useful whole: all the...",Incubating,Apache Software License 2.0
automotive.leda,Eclipse Leda,eclipse-leda.github.io,,,,https://eclipse-leda.github.io/leda/,"In the ambition to build a technology ecosystem for software-defined vehicle, one of the main challengs will be the combination of the diverse components into a coherent and useful whole: all the...",Incubating,Apache Software License 2.0
automotive.leda.ledaincubator,Eclipse Leda Incubator,projects.eclipse.org,eclipse-leda/leda-contrib-self-update-agent,,,https://projects.eclipse.org/projects/automotive.leda.ledaincubator,Eclipse Leda Incubator provides a place for experimental components from the software-defined vehicle ecosystem.,Incubating,Apache Software License 2.0
automotive.leda.ledaincubator,Eclipse Leda Incubator,projects.eclipse.org,eclipse-leda/leda-contrib-self-update-agent,,,https://projects.eclipse.org/projects/automotive.leda.ledaincubator,Eclipse Leda Incubator provides a place for experimental components from the software-defined vehicle ecosystem.,Incubating,Apache Software License 2.0
automotive.lunadds,Eclipse LunaDDS,projects.eclipse.org,,,,https://projects.eclipse.org/projects/automotive.lunadds,"The Eclipse LunaDDS project extends the capabilities of the established Eclipse CycloneDDS middleware by enhancing performance and functionality with a focus on automotive-grade requirements.
The...",Archived,Apache Software License 2.0
automotive.lunadds,Eclipse LunaDDS,projects.eclipse.org,,,,https://projects.eclipse.org/projects/automotive.lunadds,"The Eclipse LunaDDS project extends the capabilities of the established Eclipse CycloneDDS middleware by enhancing performance and functionality with a focus on automotive-grade requirements.
The...",Archived,Apache Software License 2.0
automotive.mdmbl,Eclipse MDM|BL,openmdm.org,,,,https://www.openmdm.org/,"The Eclipse MDM|BL comprises a bottom to top architecture view of three parts.
The first one is a specific openMDM application model definition for the ASAM ODS data storage. The standardization...",Regular,Eclipse Public License 2.0
automotive.mdmbl,Eclipse MDM|BL,openmdm.org,,,,https://www.openmdm.org/,"The Eclipse MDM|BL comprises a bottom to top architecture view of three parts.
The first one is a specific openMDM application model definition for the ASAM ODS data storage. The standardization...",Regular,Eclipse Public License 2.0
automotive.moec,Eclipse MoEc,projects.eclipse.org,,,,https://projects.eclipse.org/projects/automotive.moec,"Eclipse MoEc provides an open software development kit (SDK) for infrastructure-based planning, motion, parking and charging solutions within the Software Defined Vehicle (SDV) ecosystem.
The MoEc SDK",Archived,The MIT License (MIT)
automotive.moec,Eclipse MoEc,projects.eclipse.org,,,,https://projects.eclipse.org/projects/automotive.moec,"Eclipse MoEc provides an open software development kit (SDK) for infrastructure-based planning, motion, parking and charging solutions within the Software Defined Vehicle (SDV) ecosystem.
The MoEc SDK",Archived,The MIT License (MIT)
automotive.mosaic,Eclipse MOSAIC™,eclipse.org,,,,https://www.eclipse.org/mosaic/,"Eclipse MOSAIC™ provides a multi-domain/multi-scale co-simulation environment for virtual testing of connected and automated driving and mobility solutions.
Eclipse MOSAIC™ comes with a runtime...",Incubating,Eclipse Public License 2.0
automotive.mosaic,Eclipse MOSAIC™,eclipse.org,,,,https://www.eclipse.org/mosaic/,"Eclipse MOSAIC™ provides a multi-domain/multi-scale co-simulation environment for virtual testing of connected and automated driving and mobility solutions.
Eclipse MOSAIC™ comes with a runtime...",Incubating,Eclipse Public License 2.0
automotive.muto,Eclipse Muto,eclipse-muto.github.io,,,,https://eclipse-muto.github.io/docs/,"Eclipse Muto provides an adaptive framework and a runtime platform for dynamically composable model-driven ROS software stacks. Eclipse Muto can be used  to introspect, monitor and manipulate the...",Incubating,Eclipse Public License 2.0
automotive.muto,Eclipse Muto,eclipse-muto.github.io,,,,https://eclipse-muto.github.io/docs/,"Eclipse Muto provides an adaptive framework and a runtime platform for dynamically composable model-driven ROS software stacks. Eclipse Muto can be used  to introspect, monitor and manipulate the...",Incubating,Eclipse Public License 2.0
automotive.openbsw,Eclipse OpenBSW,projects.eclipse.org,,,,https://projects.eclipse.org/projects/automotive.openbsw,The project provides an embedded basic software (BSW) stack for microcontrollers written in C++ (language features up to C++14 are used). It provides libraries forlifecycle (startup/shutdown...,Incubating,Apache Software License 2.0
automotive.openbsw,Eclipse OpenBSW,projects.eclipse.org,,,,https://projects.eclipse.org/projects/automotive.openbsw,The project provides an embedded basic software (BSW) stack for microcontrollers written in C++ (language features up to C++14 are used). It provides libraries forlifecycle (startup/shutdown...,Incubating,Apache Software License 2.0
automotive.opendut,Eclipse openDuT,opendut.eclipse.dev,,,,https://opendut.eclipse.dev,Eclipse openDuT automates the testing and validation process for automotive software and applications. This includes offering a framework for the testing and validation process but also includes...,Incubating,Apache Software License 2.0
automotive.opendut,Eclipse openDuT,opendut.eclipse.dev,,,,https://opendut.eclipse.dev,Eclipse openDuT automates the testing and validation process for automotive software and applications. This includes offering a framework for the testing and validation process but also includes...,Incubating,Apache Software License 2.0
automotive.openmcx,Eclipse OpenMCx™,projects.eclipse.org,eclipse-openmcx/openmcx,,,https://projects.eclipse.org/projects/automotive.openmcx,"Eclipse OpenMCx™ is an open, tool-neutral co-simulation middleware based upon Modelica [1] simulation standards, such as Functional Mock-up Interface (FMI) [2] and Distributed-Co-Simulation-Protocol..",Incubating,Apache Software License 2.0
automotive.openmcx,Eclipse OpenMCx™,projects.eclipse.org,eclipse-openmcx/openmcx,,,https://projects.eclipse.org/projects/automotive.openmcx,"Eclipse OpenMCx™ is an open, tool-neutral co-simulation middleware based upon Modelica [1] simulation standards, such as Functional Mock-up Interface (FMI) [2] and Distributed-Co-Simulation-Protocol..",Incubating,Apache Software License 2.0
automotive.openpass,Eclipse openPASS,openpass.eclipse.org,,,,https://openpass.eclipse.org/,Eclipse openPASS™ (open Platform for Assessment of Safety Systems) tool is a developed framework for the simulation of interaction between traffic participants to evaluate and parametrize active...,Incubating,Eclipse Public License 2.0
automotive.openpass,Eclipse openPASS,openpass.eclipse.org,,,,https://openpass.eclipse.org/,Eclipse openPASS™ (open Platform for Assessment of Safety Systems) tool is a developed framework for the simulation of interaction between traffic participants to evaluate and parametrize active...,Incubating,Eclipse Public License 2.0
automotive.opensovd,Eclipse OpenSOVD,projects.eclipse.org,,,,https://projects.eclipse.org/projects/automotive.opensovd,"Eclipse OpenSOVD provides an open source implementation of the Service-Oriented Vehicle Diagnostics (SOVD) standard, as defined in ISO 17978. The project delivers a modular, standards-compliant...",Incubating,Apache Software License 2.0
automotive.opensovd,Eclipse OpenSOVD,projects.eclipse.org,,,,https://projects.eclipse.org/projects/automotive.opensovd,"Eclipse OpenSOVD provides an open source implementation of the Service-Oriented Vehicle Diagnostics (SOVD) standard, as defined in ISO 17978. The project delivers a modular, standards-compliant...",Incubating,Apache Software License 2.0
automotive.openvehicle-api,Eclipse Open Vehicle API,eclipse.dev,,,,https://eclipse.dev/openvehicle-api/,"The Eclipse Open Vehicle API contains tools and a runtime to create a vehicle abstraction interface for signal- and event-driven functions. 

Component-based
Transfer existing signal-based ECUs to HPC",Incubating,Apache Software License 2.0
automotive.openvehicle-api,Eclipse Open Vehicle API,eclipse.dev,,,,https://eclipse.dev/openvehicle-api/,"The Eclipse Open Vehicle API contains tools and a runtime to create a vehicle abstraction interface for signal- and event-driven functions. 

Component-based
Transfer existing signal-based ECUs to HPC",Incubating,Apache Software License 2.0
automotive.openxilenv,Eclipse OpenXilEnv,projects.eclipse.org,,,,https://projects.eclipse.org/projects/automotive.openxilenv,"Eclipse OpenXilEnv is a lightweight SIL/HIL environment that allows running embedded software functions on a PC without a target platform and compiler.
Eclipse OpenXilEnv will provide a configurable..",Incubating,Apache Software License 2.0
automotive.openxilenv,Eclipse OpenXilEnv,projects.eclipse.org,,,,https://projects.eclipse.org/projects/automotive.openxilenv,"Eclipse OpenXilEnv is a lightweight SIL/HIL environment that allows running embedded software functions on a PC without a target platform and compiler.
Eclipse OpenXilEnv will provide a configurable..",Incubating,Apache Software License 2.0
automotive.p3com,Eclipse p3com,projects.eclipse.org,,,,https://projects.eclipse.org/projects/automotive.p3com,"Eclipse p3com enables arbitrary communication interfaces through a convenient and modern high level API while exploiting full HW capabilities.
Eclipse ""p3com"" stands for:

Pluggable
Portable
Publish..",Incubating,Apache Software License 2.0
automotive.p3com,Eclipse p3com,projects.eclipse.org,,,,https://projects.eclipse.org/projects/automotive.p3com,"Eclipse p3com enables arbitrary communication interfaces through a convenient and modern high level API while exploiting full HW capabilities.
Eclipse ""p3com"" stands for:

Pluggable
Portable
Publish..",Incubating,Apache Software License 2.0
automotive.pullpiri,Eclipse Pullpiri,eclipse-pullpiri.github.io,,,,https://eclipse-pullpiri.github.io/pullpiri/,"Pullpiri is an open‑source orchestration platform optimized for in‑vehicle environments. Based on the K8S orchestration model, it has been redesigned for the unique constraints of automotive systems.",Incubating,Apache Software License 2.0
