name,domain,homepage_url,github_repo,ecosystem,package,repo_url,maturity,category,subcategory,description,accepted,fetched_at
kcp,kcp.io,https://kcp.io,kcp-dev/kcp,,,https://github.com/kcp-dev/kcp,sandbox,Orchestration & Management,Scheduling & Orchestration,,2023-09-19,2026-06-29T23:07:14+00:00
KEDA,keda.sh,https://keda.sh/,kedacore/keda,,,https://github.com/kedacore/keda,graduated,Orchestration & Management,Scheduling & Orchestration,,2020-03-12,2026-06-29T23:07:14+00:00
Kepler,sustainable-computing.io,https://sustainable-computing.io/,sustainable-computing-io/kepler,,,https://github.com/sustainable-computing-io/kepler,sandbox,Observability and Analysis,Observability,Kepler (Kubernetes-based Efficient Power Level Exporter) uses eBPF to probe energy related system stats and exports as Prometheus metrics.,2023-05-17,2026-06-29T23:07:14+00:00
Keptn,keptn.sh,https://www.keptn.sh,keptn/lifecycle-toolkit,,,https://github.com/keptn/lifecycle-toolkit,archived,App Definition and Development,Continuous Integration & Delivery,Cloud-native application life-cycle orchestration. Keptn automates your SLO-driven multi-stage delivery and operations & remediation of your applications.,2020-06-25,2026-06-29T23:07:14+00:00
Keycloak,keycloak.org,https://www.keycloak.org/,keycloak/keycloak,,,https://github.com/keycloak/keycloak,incubating,Provisioning,Security & Compliance,"Keycloak is an open-source identity and access management solution for modern applications and services,  built on top of industry security standard protocols.",2023-04-10,2026-06-29T23:07:14+00:00
Keylime,keylime.dev,https://keylime.dev/,keylime/keylime,,,https://github.com/keylime/keylime,sandbox,Provisioning,Security & Compliance,Bootstrap & Maintain Trust on the Edge / Cloud and IoT.,2020-09-22,2026-06-29T23:07:14+00:00
Kgateway,kgateway.dev,https://kgateway.dev/,kgateway-dev/kgateway,,,https://github.com/kgateway-dev/kgateway,sandbox,Orchestration & Management,API Gateway,"An Envoy-powered, Kubernetes-native API Gateway that integrates Kubernetes Gateway API with a control plane for API connectivity in any cloud environment.",2025-03-04,2026-06-29T23:07:14+00:00
KitOps,kitops.org,https://kitops.org/,kitops-ml/kitops,,,https://github.com/kitops-ml/kitops,sandbox,Provisioning,Automation & Configuration,"An open standard for packaging, managing, and deploying ML models and artifacts across different systems",2025-03-04,2026-06-29T23:07:14+00:00
Kmesh,kmesh.net,https://kmesh.net,kmesh-net/kmesh,,,https://github.com/kmesh-net/kmesh,sandbox,Orchestration & Management,Service Mesh,"Kmesh is a high-performance and low overhead service mesh data plane based on eBPF and programmable kernel. Kmesh brings traffic management, security and monitoring to service communication without ne",2024-10-17,2026-06-29T23:07:14+00:00
Knative,knative.dev,https://knative.dev,knative/serving,,,https://github.com/knative/serving,graduated,Orchestration & Management,Scheduling & Orchestration,Knative is a developer-focused serverless application layer which is a great complement to the existing Kubernetes application constructs. Knative consists of three components: an HTTP-triggered autos,2022-03-02,2026-06-29T23:07:14+00:00
ko,ko.build,https://ko.build/,ko-build/ko,,,https://github.com/ko-build/ko,sandbox,App Definition and Development,Application Definition & Image Build,,2022-12-14,2026-06-29T23:07:14+00:00
Konveyor,konveyor.io,https://www.konveyor.io/,konveyor/operator,,,https://github.com/konveyor/operator,sandbox,App Definition and Development,Application Definition & Image Build,,2022-07-26,2026-06-29T23:07:14+00:00
