name,github_repo,ecosystem,package,homepage,default_branch,license,language,topics,stars,archived,created_at,pushed_at,description,category
psf-packages,python/psf-packages,,,https://packagecloud.io/psf/infra,main,,HTML,psf | python,8,False,2015-10-05T17:13:37Z,2024-07-09T16:23:07Z,Packages for the PSF infrastructure,python
psf-salt,python/psf-salt,,,https://infra.psf.io/,main,MIT,Hurl,,121,False,2014-08-22T22:49:43Z,2026-04-10T22:02:38Z,PSF infrastructure configuration,python
psfoutreach,python/psfoutreach,,,psf-outreach.org,master,,Shell,,7,False,2012-08-31T15:19:30Z,2012-10-05T17:31:05Z,PSF Outreach website,python
pycon-code-of-conduct,python/pycon-code-of-conduct,,,,master,,,,112,False,2013-03-21T14:08:58Z,2019-05-07T13:22:10Z,pycon code of conduct,python
pymanager,python/pymanager,,,,main,NOASSERTION,Python,,280,False,2025-04-28T16:59:04Z,2026-04-27T02:18:50Z,The Python Install Manager (for Windows),python
pyperformance,python/pyperformance,,,http://pyperformance.readthedocs.io/,main,MIT,Python,benchmark | performance | python,1014,False,2016-08-17T23:43:22Z,2026-04-24T16:09:40Z,Python Performance Benchmark Suite,python
python-dev-survey,python/python-dev-survey,,,,master,,,,11,False,2018-03-28T16:12:03Z,2018-03-28T16:47:38Z,Place for gathering feedback from the public on the Python Developers Survey,python
python-docs-bn-in,python/python-docs-bn-in,,,,3.14,NOASSERTION,Makefile,,5,False,2017-06-11T13:34:47Z,2025-05-25T06:27:56Z,Bengali Translation of the Python Documentation,python
python-docs-el,python/python-docs-el,,,https://python-docs-gr.readthedocs.io/el/latest/,3.14,NOASSERTION,Python,docs | greek | hacktoberfest | python | python312 | python313 | python314 | sphinx | translation,27,False,2024-03-14T12:05:47Z,2026-04-09T20:16:42Z,Greek Translation of the Python Documentation,python
python-docs-es,python/python-docs-es,,,https://python-docs-es.readthedocs.io/,3.14,NOASSERTION,Python,documentation | hacktoberfest | python | spanish | translation,361,False,2019-05-06T15:33:13Z,2026-03-26T22:46:21Z,Spanish translation of the Python documentation.,python
python-docs-fr,python/python-docs-fr,,,https://docs.python.org/fr/,main,NOASSERTION,,,354,False,2017-05-22T20:40:58Z,2025-11-22T13:30:01Z,Mirroir de https://git.afpy.org/AFPy/python-docs-fr,python
python-docs-hu,python/python-docs-hu,,,,main,,,psf | python-documentation | translation,11,False,2017-06-11T13:32:05Z,2026-04-25T15:18:28Z,Hungarian Translation of the Python Documentation,python
python-docs-id,python/python-docs-id,,,,3.14,NOASSERTION,Python,bahasa-indonesia | python | python-docs | python-documentation | transifex,78,False,2019-10-10T00:18:41Z,2026-04-26T00:37:50Z,Terjemahan Bahasa Indonesia untuk Dokumentasi Python,python
python-docs-it,python/python-docs-it,,,,main,,,,14,False,2019-04-21T15:55:34Z,2024-06-18T22:26:00Z,Italian translation of the Python documentation.,python
python-docs-ja,python/python-docs-ja,,,,3.14,NOASSERTION,Makefile,document | japanese | python,72,False,2017-06-11T13:33:21Z,2026-04-27T00:00:52Z,Japanese Translation of the Python Documentation,python
python-docs-ko,python/python-docs-ko,,,https://docs.python.org/ko/,master,,,,76,False,2018-01-12T13:07:00Z,2026-04-12T00:56:15Z,Korean translation of the Python documentation,python
python-docs-pl,python/python-docs-pl,,,https://docs.python.org/pl,3.14,NOASSERTION,Python,pep-545 | polish-translation | python-documentation,55,False,2019-12-10T23:37:12Z,2026-04-27T09:05:39Z,Polskie tłumaczenie dokumentacji Pythona,python
python-docs-pt-br,python/python-docs-pt-br,,,,main,CC0-1.0,Python,brazilian-portuguese | hacktoberfest | l10n | localization | python-documentation | translation,158,False,2017-06-22T21:33:42Z,2026-04-25T23:28:56Z,Brazilian Portuguese translation of the Python Documentation,python
python-docs-ro,python/python-docs-ro,,,,3.13,NOASSERTION,PowerShell,,2,False,2025-03-04T12:45:13Z,2025-11-16T08:00:26Z,O traducere în românește a documentației Python.,python
python-docs-sv,python/python-docs-sv,,,,main,,,,1,False,2025-08-13T18:16:02Z,2026-04-26T00:13:58Z,Sweedish Translation of the Python Documentation,python
python-docs-theme,python/python-docs-theme,,,,main,NOASSERTION,CSS,,88,False,2017-06-04T21:14:32Z,2026-04-24T15:02:12Z,Sphinx theme for Python documentation,python
python-docs-tr,python/python-docs-tr,,,https://docs.python.org/tr,3.12,NOASSERTION,Python,cpython | documentation | python | python-docs | python-docs-tr | translation | turkce | turkce-dokumantasyon | turkce-kaynak | turkish | turkish-documentation | turkish-language,128,False,2021-12-18T13:34:26Z,2026-04-01T00:39:01Z,Turkish Translation of the Python Documentation,python
python-docs-uk,python/python-docs-uk,,,,main,NOASSERTION,Makefile,,30,False,2022-06-16T22:26:58Z,2025-05-01T20:59:48Z,Ukrainian translation of the Python Documentation,python
python-docs-zh-cn,python/python-docs-zh-cn,,,https://docs.python.org/zh-cn/,master,,,,459,False,2018-10-22T13:03:51Z,2026-04-27T12:52:35Z,Simplified Chinese translation of the Python documentation,python
python-docs-zh-tw,python/python-docs-zh-tw,,,https://docs.python.org/zh-tw/,3.14,NOASSERTION,Python,python | translation,279,False,2018-06-24T06:19:52Z,2026-04-27T00:36:15Z,Traditional Chinese (zh-tw) translation of the Python Documentation,python
python-insider-blog,python/python-insider-blog,,,https://blog.python.org,main,,Astro,blog | python | python-blog | python-releases,30,False,2026-02-13T05:49:21Z,2026-04-08T09:25:21Z,,python
pythoncapi-compat,python/pythoncapi-compat,,,https://pythoncapi-compat.readthedocs.io/,main,0BSD,C++,,106,False,2020-06-04T17:09:06Z,2026-03-19T11:10:30Z,  The pythoncapi-compat project can be used to write a C extension supporting a wide range of Python versions with a single code base.,python
pythondotorg,python/pythondotorg,,,https://www.python.org,main,Apache-2.0,Python,psf | python,1627,False,2012-10-08T16:00:15Z,2026-04-21T22:19:58Z,Source code for python.org,python
pythonineducation.org,python/pythonineducation,,,,master,Apache-2.0,HTML,,32,False,2016-06-15T18:10:10Z,2022-04-09T16:53:15Z,The pythonineducation.org website,python
pythontestdotnet,python/pythontestdotnet,,,,master,,HTML,,15,False,2016-06-02T21:42:55Z,2026-02-13T19:17:51Z,source of pythontest.net (resources used for Python test suite),python
raspberryio,python/raspberryio,,,http://raspberry.io,master,NOASSERTION,Python,,227,True,2013-01-11T21:29:18Z,2014-04-22T15:28:51Z,Source code for raspberry.io,python
redistributor-guide,python/redistributor-guide,,,,master,Apache-2.0,,,8,False,2017-08-15T10:53:53Z,2017-08-15T10:53:54Z,Guidance & recommendations for anyone publishing their own binary builds of CPython,python
release-tools,python/release-tools,,,,main,NOASSERTION,Python,,59,False,2016-09-05T18:25:11Z,2026-04-23T13:46:42Z,Scripts for making (C)Python releases,python
speed.python.org,python/speed,,,,master,,HTML,,14,True,2014-12-18T19:48:53Z,2016-09-07T20:52:25Z,,python
steering-council,python/steering-council,,,,main,,Makefile,cpython | governance | python,177,False,2019-02-12T19:18:46Z,2026-04-17T16:04:15Z,Communications from the Steering Council,python
the-knights-who-say-ni,python/the-knights-who-say-ni,,,,master,Apache-2.0,Python,,86,True,2016-03-28T16:39:27Z,2022-07-07T21:00:51Z,CLA enforcement bot for Python organization projects,python
tlsproxy,python/tlsproxy,,,,master,,Python,,9,False,2016-06-18T16:26:09Z,2016-06-18T16:27:14Z,,python
typed_ast,python/typed_ast,,,,master,NOASSERTION,C,,233,True,2016-02-16T22:40:09Z,2023-07-03T22:56:14Z,Modified fork of CPython's ast module that parses `# type:` comments,python
typeshed,python/typeshed,,,,main,NOASSERTION,Python,python | stub | types | typing,5048,False,2015-03-05T04:51:28Z,2026-04-26T00:31:42Z,"Collection of library stubs for Python, with static types",python
typing,python/typing,,,https://typing.python.org/en/latest/,main,NOASSERTION,Python,gradual-typing | python | static-typing | types | typing,1750,False,2014-09-29T16:54:42Z,2026-04-25T13:52:37Z,Python static typing home. Hosts the documentation and a user help forum.,python
typing-council,python/typing-council,,,,main,,,,52,False,2023-11-28T00:34:08Z,2026-04-15T17:20:18Z,Decisions by the Python Typing Council,python
typing_extensions,python/typing_extensions,,,,main,NOASSERTION,Python,,562,False,2022-05-19T13:12:25Z,2026-04-06T21:55:42Z,Backported and experimental type hints for Python,python
tzdata,python/tzdata,,,https://tzdata.python.org/,master,NOASSERTION,Python,,102,False,2020-02-21T14:32:53Z,2026-04-24T17:30:34Z,Python package wrapping the IANA time zone database,python
