name,project_slug,domain,website,github_repo,ecosystem,package,description,fetched_at
Outreachy,outreachy,outreachy.org,https://www.outreachy.org/,,,,"Outreachy helps people from groups underrepresented in free and open source software get involved by providing a supportive community for newcomers to contribute to throughout the year, and by offerin",2026-06-29T23:07:58+00:00
phpMyAdmin,phpmyadmin,phpmyadmin.net,https://phpmyadmin.net/,,,,"phpMyAdmin is a free and open source web interface for the MySQL and MariaDB database systems. Frequently used operations (managing databases, tables, columns, relations, indexes, users, permissions, ",2026-06-29T23:07:58+00:00
QEMU,qemu,qemu.org,http://qemu.org,,,,"QEMU is a generic and open source machine emulator and virtualizer. When used as a machine emulator, QEMU can run OSes and programs made for one machine (e.g. an ARM board) on a different machine (e.g",2026-06-29T23:07:58+00:00
Reproducible Builds,reproducible-builds,reproducible-builds.org,https://reproducible-builds.org,,,,Reproducible Builds are a set of software development practices that create an independently verifiable path from source code to the binary code used by computers. This is especially useful for develo,2026-06-29T23:07:58+00:00
Samba,samba,samba.org,https://www.samba.org/samba/,,,,"Samba is a FOSS suite that provides seamless file and print services to SMB/CIFS clients, namely, to Microsoft Windows. Samba is freely available, unlike other SMB/CIFS implementations, and allows for",2026-06-29T23:07:58+00:00
Selenium,selenium,seleniumhq.org,http://seleniumhq.org,,,,"Selenium is a suite of tools for browser automation. It is composed of &ldquo;IDE&rdquo;, a recording and playback mechanism, &ldquo;WebDriver&rdquo; and &ldquo;RC&rdquo; which provide APIs for browse",2026-06-29T23:07:58+00:00
Squeak,squeak,squeak.org,http://squeak.org/,,,,"Squeak is a modern, open source, full-featured implementation of the powerful Smalltalk programming language and environment. Squeak is highly-portable - even its virtual machine is written entirely i",2026-06-29T23:07:58+00:00
SurveyOS,surveyos,surveyos.sourceforge.net,http://surveyos.sourceforge.net/,,,,The Survey Open Source (SurveyOS) Project is a non-profit project of the Software Freedom Conservancy dedicated to fostering cooperation between land surveyors and GIS professionals through the develo,2026-06-29T23:07:58+00:00
SWIG,swig,swig.org,http://www.swig.org/,,,,SWIG is a software development tool that connects programs written in C and C++ with a variety of high-level programming languages. SWIG is used with different types of languages including common scri,2026-06-29T23:07:58+00:00
Teaching Open Source,teaching-open-source,teachingopensource.org,http://teachingopensource.org/,,,,Teaching Open Source (TOS) exists to support instructors and FLOSS community members who desire to support student involvement in FLOSS projects within academic institutions. The TOS community is supp,2026-06-29T23:07:58+00:00
U-Boot,u-boot,github.com,http://github.com/u-boot/u-boot/,u-boot/u-boot,,,"U-Boot is the ""universal boot loader"". A critical piece of free software, making sure that a free bootloader can exist for myriad devices and chipsets. Existing for over 25 years, U-Boot has shown a l",2026-06-29T23:07:58+00:00
Wine,wine,winehq.org,http://www.winehq.org/,,,,"Wine is an Open Source implementation of the Windows API on top of X and Unix. It is a compatibility layer for running Windows programs. Wine does not require Microsoft Windows, as it is a completely ",2026-06-29T23:07:58+00:00
Xapian,xapian,xapian.org,https://xapian.org/,,,,Xapian is a highly adaptable toolkit which allows developers to easily add advanced indexing and search facilities to their own applications. It has built-in support for several families of weighting ,2026-06-29T23:07:58+00:00
