name,domain,homepage_url,github_repo,ecosystem,package,repo_url,category,subcategory,description,license,accepted,fetched_at
AI Readiness,github.com,https://github.com/finos/ai-readiness,finos/ai-readiness,,,https://github.com/finos/ai-readiness,Projects,All,"All banks have mature processes for on-boarding technology, however, (Generative) AI presents some new challenges that the existing processes may not be well-suited to addressing. Without going into t",Apache-2.0,2024-05-14,2026-06-29T23:07:34+00:00
AI SIG,lfenergy.org,https://lfenergy.org/working-groups/lf-energy-artificial-intelligence-ai/,,,,,Projects,All,"LF Energy Special Interest Group (SIG) focused on Aritificial Intelligence (AI)
",TBD / NA,2023-11-01,2026-06-29T23:07:34+00:00
AINETUS,ainetus.energy,https://ainetus.energy/,ainetus/soft_label_gnn,,,https://github.com/ainetus/soft_label_gnn,Projects,All,"AI algorithms mainly composed by supervised and reinforcement learning. Unifying the benefits of existing heuristics, physical modelling of these complex systems and learning methods, as well as a set",MIT,2026-01-06,2026-06-29T23:07:34+00:00
Airship Installer,wiki.anuket.io,https://wiki.anuket.io/x/9AcB,,,,,Projects,All,Airship-based Infrastructure Deployment and Lifecycle Management is an installer with the goal of deploying and managing the lifecycle of cloud and NFV infrastructure in order to support VNFs testing ,,2019-07-20,2026-06-29T23:07:34+00:00
Akraino,lfedge.org,https://www.lfedge.org/projects/akraino/,akraino-edge-stack/icn-nodus,,,https://github.com/akraino-edge-stack/icn-nodus,Projects,All,Akraino aims to create an open source software stack that supports high-availability cloud services optimized for edge computing systems and applications.,,2018-08-20,2026-06-29T23:07:34+00:00
Akri,github.com,https://github.com/deislabs/akri,deislabs/akri,,,https://github.com/deislabs/akri,Projects,All,"""Akri removes the work of finding, using, and monitoring the availability of the IoT devices around Kubernetes clusters. it provides an abstraction layer for device usage, handling the dynamic appeara",Apache-2.0,2021-09-14,2026-06-29T23:07:34+00:00
All In,allinopensource.org,https://allinopensource.org/,,,,,Projects,All,"A community dedicated to advancing diversity, equity, and inclusion within open source.",,2022-01-21,2026-06-29T23:07:34+00:00
Alliance for Open Media (AOM),aomedia.org,https://aomedia.org/,AOMediaCodec/libavif,,,https://github.com/AOMediaCodec/libavif,Projects,All,"AOMedia unites top tech leaders behind a collaborative effort to offer open, royalty-free and interoperable solutions for the next generation of media delivery. The Alliance’s shared vision is to make",BSD-3-Clause,2016-05-17,2026-06-29T23:07:34+00:00
Alliance for OpenUSD (AOUSD),aousd.org,https://aousd.org/,,,,,Projects,All,"The Alliance for OpenUSD (AOUSD) is an open, non-profit organization dedicated to promoting the interoperability of 3D content through OpenUSD (Universal Scene Description).",Apache-2.0,2023-05-05,2026-06-29T23:07:34+00:00
Alliance for OpenUSD Fund (AOUSDF),aousd.org,https://aousd.org/,,,,,Projects,All,"The Alliance for OpenUSD (AOUSD) is an open, non-profit organization dedicated to promoting the interoperability of 3D content through OpenUSD (Universal Scene Description).",,2023-08-01,2026-06-29T23:07:34+00:00
Ambitus,openmainframeproject.org,https://www.openmainframeproject.org/projects/ambitus,ambitus/ambitus,,,https://github.com/ambitus/ambitus,Projects,All,Ambitus fosters a community that will help educate developers about all open source technologies on z/OS,Apache-2.0,2020-02-24,2026-06-29T23:07:34+00:00
AMP,amp.dev,https://amp.dev/,ampproject/amphtml,,,https://github.com/ampproject/amphtml,Projects,All,AMP is a web component framework to easily create user-first experiences for the web,,2019-10-10,2026-06-29T23:07:34+00:00
AMReX,amrex-codes.github.io,https://amrex-codes.github.io/,,,,,Projects,All,"The mission and charitable purposes (collectively, the “Charitable Purposes”) of the Project is to provide a parallel, performance-portable block-structured adaptive mesh refinement framework for scie",BSD-3-Clause,2024-07-03,2026-06-29T23:07:34+00:00
Amundsen,amundsen.io,https://www.amundsen.io/,,,,,Projects,All,"Amundsen is a data discovery and metadata engine for improving the productivity of data analysts, data scientists and engineers when interacting with data. Amundsen is a metadata driven application fo",Apache-2.0,2020-08-10,2026-06-29T23:07:34+00:00
Angel,angelml.ai,https://angelml.ai/,Angel-ML/angel,,,https://github.com/Angel-ML/angel,Projects,All,A Flexible and Powerful Parameter Server for large-scale machine learning.,Apache-2.0,2018-08-14,2026-06-29T23:07:34+00:00
Antrea,antrea.io,https://antrea.io/,antrea-io/antrea,,,https://github.com/antrea-io/antrea,Projects,All,Antrea is a Kubernetes-native project that implements the Container Network Interface (CNI) and Kubernetes NetworkPolicy thereby providing network connectivity and security for pod workloads. Antrea e,Apache-2.0,2021-04-27,2026-06-29T23:07:34+00:00
Anuket,anuket.io,https://www.anuket.io/,,,,,Projects,All,"The mission of the Anuket project is to empower the global communications community by creating and developing reference cloud infrastructure models, architectures, tools, and programs to deliver netw",Apache-2.0,2020-12-30,2026-06-29T23:07:34+00:00
Apalache,apalache-mc.org,https://apalache-mc.org/,apalache-mc/apalache,,,https://github.com/apalache-mc/apalache,Projects,All,The mission of the Project is to develop a symbolic model checker for TLA+.,Apache-2.0,2026-06-05,2026-06-29T23:07:34+00:00
Apostille,github.com,https://github.com/openwallet-foundation-labs/apostille,openwallet-foundation-labs/apostille,,,https://github.com/openwallet-foundation-labs/apostille,Projects,All,"Apostille is a comprehensive open-source platform for issuing, managing, and verifying digital credentials built on open standards.",Apache-2.0,2026-03-06,2026-06-29T23:07:34+00:00
App Defense Alliance Fund,appdefensealliance.dev,https://appdefensealliance.dev/,,,,,Projects,All,The App Defense Alliance is focused on protecting users by preventing threats from reaching their devices and improving app quality across the ecosystem. The App Defense Alliance protects users of mob,,2023-08-24,2026-06-29T23:07:34+00:00
App Ecosystem Working Group,chaoss.community,https://chaoss.community/,chaoss/wg-app-ecosystem,,,https://github.com/chaoss/wg-app-ecosystem,Projects,All,The mission of this working group is to build a base set of metrics that is focused on the needs of open source communities that are part of the FOSS app ecosystem.,,2017-09-13,2026-06-29T23:07:34+00:00
Appia Foundation,appiafoundation.org,https://appiafoundation.org/,organizations/appia-project,,,https://github.com/organizations/appia-project,Projects,All,"The mission of the project is to develop and maintain a practical, scalable, internationally aligned framework of AI conformity specifications grounded in international standards.",TBD / NA,2026-03-31,2026-06-29T23:07:34+00:00
Appia Fund,appiafoundation.org,https://appiafoundation.org/,,,,,Projects,All,Directed Fund to support the work of the APPIA Series,TBD / NA,2026-03-31,2026-06-29T23:07:34+00:00
Appium,appium.io,https://appium.io/,appium/appium,,,https://github.com/appium/appium,Projects,All,"Appium is an open source test automation framework for use with native, hybrid and mobile web apps.",,2019-03-12,2026-06-29T23:07:34+00:00
Application Authorization Framework (AAF),wiki.onap.org,https://wiki.onap.org/x/E5B9,,,,,Projects,All,"AAF is designed to cover Fine-Grained Authorization, meaning that the Authorizations provided are able to used an Application’s detailed authorizations, such as whether a user may be on a particular p",,2017-06-29,2026-06-29T23:07:34+00:00
Apptainer,apptainer.org,https://apptainer.org/,,,,,Projects,All,This project is focused on development of next-generation high performance computing architecture.,BSD-3-Clause,2021-11-02,2026-06-29T23:07:34+00:00
Architect,arc.codes,https://arc.codes/,architect/architect,,,https://github.com/architect/architect,Projects,All,"Architect provides everything you need to build fast, modern, massively scalable cloud apps with low code, clear and terse config, and zero ceremony.",,2019-03-12,2026-06-29T23:07:34+00:00
Argo,argoproj.github.io,https://argoproj.github.io/,argoproj/argoproj,,,https://github.com/argoproj/argoproj,Projects,All,"Argo CD is a declarative, GitOps continuous delivery tool for Kubernetes.",Apache-2.0,2020-04-07,2026-06-29T23:07:34+00:00
Armada,armadaproject.io,https://armadaproject.io/,armadaproject/armada,,,https://github.com/armadaproject/armada,Projects,All,"Armada is an application to achieve high throughput of run-to-completion jobs on multiple Kubernetes clusters.

It stores queues for users/projects with pod specifications and creates these pods once ",Apache-2.0,2022-07-26,2026-06-29T23:07:34+00:00
Arras,arras.energy,https://arras.energy/,arras-energy/tsc,,,https://github.com/arras-energy/tsc,Projects,All,"Open source, high performance power grid simulation for distribution grids and distributed energy resources
",Other,2023-01-03,2026-06-29T23:07:34+00:00
Artifact Hub,artifacthub.io,https://artifacthub.io/,artifacthub/hub,,,https://github.com/artifacthub/hub,Projects,All,"Artifact Hub is a web-based application that enables finding, installing, and publishing packages and configurations for CNCF projects.",Apache-2.0,2020-06-23,2026-06-29T23:07:34+00:00
Artigraph,github.com,https://github.com/artigraph/,artigraph/artigraph,,,https://github.com/artigraph/artigraph,Projects,All,The mission of the Project is to enable data lifecycle management for AI workflow tooling and other applications.,,2022-02-07,2026-06-29T23:07:34+00:00
AsyncAPI,asyncapi.com,https://www.asyncapi.com/,asyncapi/spec,,,https://github.com/asyncapi/spec,Projects,All,The mission of the Project is to provide open-source vendor-neutral specification(s) and tools to facilitate the development and governance of APIs (Application Programming Interfaces).,,2021-03-19,2026-06-29T23:07:34+00:00
Athenz,github.com,https://github.com/yahoo/athenz,AthenZ/athenz,,,https://github.com/AthenZ/athenz,Projects,All,A project from Verizon/Yahoo focusing on Kubernetes workload security.,Apache-2.0,2021-01-26,2026-06-29T23:07:34+00:00
Atlantis,github.com,https://github.com/runatlantis/atlantis,runatlantis/atlantis,,,https://github.com/runatlantis/atlantis,Projects,All,Atlantis is PR automation application that allows users to create PRs against a repository to run terraform via command comments.,Apache-2.0,2024-06-18,2026-06-29T23:07:34+00:00
Augur,chaoss.community,https://chaoss.community/,,,,,Projects,All,Augur is a decentralized prediction market platform built on the Ethereum blockchain and the first decentralized application running on Ethereum to make headlines.,,2017-09-13,2026-06-29T23:07:34+00:00
Authentication Working Group,identity.foundation,https://identity.foundation/,decentralized-identity/authentication-wg,,,https://github.com/decentralized-identity/authentication-wg,Projects,All,"Join this group to contribute to standards and technology that designs and implements authentication protocols that rely upon open standards and cryptographic protocols, including DIDs and DID Documen",,2017-05-27,2026-06-29T23:07:34+00:00
Automated Compliance Tooling (ACT),automatecompliance.org,https://automatecompliance.org/,act-project/TAC,,,https://github.com/act-project/TAC,Projects,All,"The mission of ACT is to support development of open source tooling for efficient and effective exchange of software bill of materials (SBOM) to enable license compliance, security, export control, pe",,2018-12-06,2026-06-29T23:07:34+00:00
Automotive Grade Linux (AGL),automotivelinux.org,https://www.automotivelinux.org/,,,,https://gitlab.com/automotivegradelinux,Projects,All,"Automotive Grade Linux is a collaborative open source project that is bringing together automakers, suppliers and technology companies to accelerate the development and adoption of a fully open softwa",,2012-09-19,2026-06-29T23:07:34+00:00
BabelTrace,babeltrace.org,https://babeltrace.org/,efficios/babeltrace,,,https://github.com/efficios/babeltrace,Projects,All,"The Babeltrace project provides trace read and write libraries, as well as a trace converter. Plugins can be created for any trace format to allow its conversion to/from another trace format.",,2015-08-19,2026-06-29T23:07:34+00:00
Backstage,backstage.io,https://backstage.io/,backstage/backstage,,,https://github.com/backstage/backstage,Projects,All,"Backstage is an open platform
 for building developer portals.
 Powered by a centralized software catalog,
 Backstage restores order to your microservices
 and infrastructure and enables your product ",Apache-2.0,2020-09-08,2026-06-29T23:07:34+00:00
Baetyl,lfedge.org,https://www.lfedge.org/projects/baetyl/,,,,,Projects,All,"Baetyl seamlessly extends cloud computing, data and services to edge devices, enabling developers to build light, secure and scalable edge applications.",,2019-09-03,2026-06-29T23:07:34+00:00
Bank-Vaults,github.com,https://github.com/bank-vaults/bank-vaults,bank-vaults/bank-vaults,,,https://github.com/bank-vaults/bank-vaults,Projects,All,Bank-Vaults is a set of tools covering many aspects of secret management in the Cloud Native ecosystem.,Apache-2.0,2024-06-18,2026-06-29T23:07:34+00:00
Barometer,wiki.anuket.io,https://wiki.anuket.io/x/BgkB,,,,,Projects,All,"The ability to monitor the Network Function Virtualization Infrastructure (NFVI) where VNFs are in operation will be a key part of Service Assurance within an NFV environment, in order to enforce SLAs",,2014-12-11,2026-06-29T23:07:34+00:00
Battery Data Alliance,batterydataalliance.energy,https://batterydataalliance.energy/,battery-data-alliance/pymacnet,,,https://github.com/battery-data-alliance/pymacnet,Projects,All,"Sustainable open source software, best practices, and delivery standards for the battery industry
",Apache-2.0,2024-02-28,2026-06-29T23:07:34+00:00
BeeAI,beeai.dev,https://beeai.dev/,i-am-bee/beeai-framework,,,https://github.com/i-am-bee/beeai-framework,Projects,All,The mission of the project is to develop an open-source framework for building production-ready agents.,Apache-2.0,2025-03-14,2026-06-29T23:07:34+00:00
Best Practices Badge,github.com,https://github.com/coreinfrastructure/best-practices-badge,coreinfrastructure/best-practices-badge,,,,Projects,All,This project identifies best practices for Free/Libre and Open Source Software (FLOSS) and implements a badging system for those best practices.,MIT,2024-04-30,2026-06-29T23:07:34+00:00
Besu,hyperledger.org,https://www.hyperledger.org/projects/besu,,,,,Projects,All,"The mission of the Project is to develop an Ethereum client designed to be enterprise and infrastructure-friendly for both public and private permissioned network use cases, with an extractable EVM im",Apache-2.0,2019-09-10,2026-06-29T23:07:34+00:00
BFE,bfe-networks.net,https://www.bfe-networks.net/en_us/,bfenetworks/bfe,,,https://github.com/bfenetworks/bfe,Projects,All,BFE is a modern layer 7 load balancer.,,2020-06-23,2026-06-29T23:07:34+00:00
BGP LS PCEP,wiki.opendaylight.org,https://wiki.opendaylight.org/display/ODL/BGPCEP,,,,,Projects,All,"BGPCEP project is an effort to bring two south-bound plugins into the controller: one for supporting BGP Linkstate Distribution as a source of L3 topology information, the other one to add support for",,2018-07-18,2026-06-29T23:07:34+00:00
Binder Examples,github.com,https://github.com/binder-examples,binder-examples/conda,,,https://github.com/binder-examples/conda,Projects,All,Binder Examples is a sub-project of Project Jupyter.,BSD-3-Clause,2024-10-09,2026-06-29T23:07:34+00:00
Binderhub-ci-repos,github.com,https://github.com/binderhub-ci-repos,binderhub-ci-repos/cached-minimal-dockerfile,,,https://github.com/binderhub-ci-repos/cached-minimal-dockerfile,Projects,All,Binderhub-ci-repos is a sub-project of Project Jupyter.,BSD-3-Clause,2024-10-09,2026-06-29T23:07:34+00:00
Bitol,bitol.io,https://bitol.io/,,,,,Projects,All,"Within the BITOL project, the primary objective is to tackle multiple challenges, such as data normalization, ensuring the relevance of documentation, establishing service-level expectations, simplify",Apache-2.0,2023-11-30,2026-06-29T23:07:34+00:00
Blockhound,github.com,https://github.com/reactor/BlockHound,reactor/BlockHound,,,https://github.com/reactor/BlockHound,Projects,All,Blockhound is a Java agent to detect blocking calls from non-blocking threads.,Apache-2.0,2021-04-19,2026-06-29T23:07:34+00:00
bomctl,github.com,https://github.com/bomctl/bomctl,bomctl/bomctl,,,https://github.com/bomctl/bomctl,Projects,All,"The mission of the Project is to create a format-agnostic Software Bill of Materials (SBOM) tooling, which is intended to bridge the gap between SBOM generation and SBOM analysis tools.",Apache-2.0,2024-08-05,2026-06-29T23:07:34+00:00
bootc,github.com,https://github.com/containers/bootc,containers/bootc,,,https://github.com/containers/bootc,Projects,All,"The mission of the project is to provide transactional, in-place operating system images and updates using OCI/Docker container images.",Apache-2.0,2025-02-21,2026-06-29T23:07:34+00:00
BOSH,bosh.io,https://bosh.io/,cloudfoundry/bosh,,,https://github.com/cloudfoundry/bosh,Projects,All,"BOSH is a project that unifies release engineering, deployment, and lifecycle management of small and large-scale cloud software. BOSH can provision and deploy software over hundreds of VMs. It also p",,2020-12-17,2026-06-29T23:07:34+00:00
bpfman,bpfman.io,https://bpfman.io/,bpfman/bpfman,,,https://github.com/bpfman/bpfman,Projects,All,"Since eBPF is gaining in popularity, we are building tools that make it easier for developers and operations teams to securely deploy and manage eBPF programs in various environments.

bpfman is a sui",Apache-2.0,2024-06-19,2026-06-29T23:07:34+00:00
Briolette,github.com,https://github.com/Briolette,Briolette/briolette,,,https://github.com/Briolette/briolette,Projects,All,Briolette is a framework for researching offline digital currency designs.,Apache-2.0,2026-04-20,2026-06-29T23:07:34+00:00
Broadband Fund,lfbroadband.org,https://lfbroadband.org/,,,,,Projects,All,The Broadband Fund supports the Broadband Project.,TBD / NA,2024-01-31,2026-06-29T23:07:34+00:00
Buildpacks,buildpacks.io,https://buildpacks.io/,buildpacks/pack,,,https://github.com/buildpacks/pack,Projects,All,Cloud Native Buildpacks transform your application source code into images that can run on any cloud.,,2018-10-03,2026-06-29T23:07:34+00:00
C4SB Project,github.com,https://github.com/orgs/C4SBF,,,,https://github.com/orgs/C4SBF,Projects,All,,Apache-2.0,2025-06-03,2026-06-29T23:07:34+00:00
Cadence,cadenceworkflow.io,https://cadenceworkflow.io/,cadence-workflow/cadence,,,https://github.com/cadence-workflow/cadence,Projects,All,develop a native code based workflow orchestration engine,Apache-2.0,2025-09-23,2026-06-29T23:07:34+00:00
Caliper,hyperledger.org,https://www.hyperledger.org/projects/caliper,hyperledger/caliper,,,https://github.com/hyperledger/caliper,Projects,All,"Hyperledger Caliper is a blockchain benchmark tool, which allows users to measure the performance of a specific blockchain implementation with a set of predefined use cases.",Apache-2.0,2018-03-15,2026-06-29T23:07:34+00:00
Call for Code,linuxfoundation.org,https://linuxfoundation.org/projects/call-for-code,Call-for-Code/Project-Catalog,,,https://github.com/Call-for-Code/Project-Catalog,Projects,All,"Call for Code with The Linux Foundation provides a deployment framework to build, fortify, test, and implement open source projects created through the Call for Code Global Initiative and other source",,2018-07-06,2026-06-29T23:07:34+00:00
Calm,calm.finos.org,https://calm.finos.org/,finos/architecture-as-code,,,https://github.com/finos/architecture-as-code,Projects,All,provide a common language for consistent and auditable architecture,Apache-2.0,2025-01-22,2026-06-29T23:07:34+00:00
Camara Fund,camaraproject.org,https://camaraproject.org/,,,,,Projects,All,"Camara, a telco global API initiative, is focused on developing open source networking and telecommunications solutions based on open APIs.",,2023-06-06,2026-06-29T23:07:34+00:00
Capsule,capsule.clastix.io,https://capsule.clastix.io/,projectcapsule/capsule,,,https://github.com/projectcapsule/capsule,Projects,All,"Capsule implements a multi-tenant and policy-based environment in your Kubernetes cluster. It is designed as a micro-services-based ecosystem with the minimalist approach, leveraging only on upstream ",Apache-2.0,2022-12-13,2026-06-29T23:07:34+00:00
Carbyne Stack,carbynestack.io,https://carbynestack.io/,carbynestack/carbynestack,,,https://github.com/carbynestack/carbynestack,Projects,All,The mission of the Carbyne Stack project is to enable secure collaborative computing on encrypted data by leveraging Secure Multiparty Computation (MPC). Its primary goal is to facilitate safe and pri,Apache-2.0,2025-03-28,2026-06-29T23:07:34+00:00
Carina,opencarina.com,http://opencarina.com/,carina-io/carina,,,https://github.com/carina-io/carina,Projects,All,Carina is a cloud native storage system which conforms standard Kubernetes CSI spec and  provides raw disk performance for stateful applications and has ops-free maintaining. The core function of Cari,Apache-2.0,2022-12-13,2026-06-29T23:07:34+00:00
Carrier Grade Linux (CGL),wiki.linuxfoundation.org,https://wiki.linuxfoundation.org/cgl/start,jjmcdn/cgl-specification,,,https://github.com/jjmcdn/cgl-specification,Projects,All,"The CGL workgroup has two main functions. First, interface with network equipment providers and carriers to gather requirements and produce specifications that Linux distribution vendors can implement",,2007-02-21,2026-06-29T23:07:34+00:00
Cartography,github.com,https://github.com/cartography-cncf/cartography,cartography-cncf/cartography,,,https://github.com/cartography-cncf/cartography,Projects,All,Cartography builds a self-maintaining map of your infrastructure.,Apache-2.0,2024-08-23,2026-06-29T23:07:34+00:00
Carvel,carvel.dev,https://carvel.dev/,,,,https://carvel.dev/,Projects,All,"Carvel provides a set of reliable, single-purpose, composable tools that aid in your application building, configuration, and deployment to Kubernetes.",Apache-2.0,2022-09-13,2026-06-29T23:07:34+00:00
CBOMkit,github.com,https://github.com/IBM/cbomkit,IBM/cbomkit,,,https://github.com/IBM/cbomkit,Projects,All,"CBOMkit is a toolset for dealing with Cryptography Bill of Materials (CBOM). CBOMkit includes a

CBOM Generation (CBOMkit-hyperion, CBOMkit-theia): Generate CBOMs from source code by scanning git repo",Apache-2.0,2025-04-17,2026-06-29T23:07:34+00:00
CBT Tape,cbttape.org,https://www.cbttape.org/,CBTTape/CBT898,,,https://github.com/CBTTape/CBT898,Projects,All,"The mission of the Project is to provide an open library of free software distribution for the IBM mainframe Multiple Virtual Storage (MVS), OS/390 and z/OS operating system environments that continue",MIT,2020-09-09,2026-06-29T23:07:34+00:00
