"package","ecosystem","value_class","github_repo","canonical_git_url","gh_mirror","confidence","self_confidence_raw","verified","agreement","n_runs","dissent","tier","source","reasoning","review_note","checked_at","model"
"bzip2","cpp","B","","https://sourceware.org/git/bzip2.git","True","0.30","0.40","true","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","Canonical at sourceware.org/bzip2. No widely-known canonical GH mirror.","git ls-remote failed; URL blanked | URL restored after retest; valid-but-slow git endpoint (Savannah/SourceForge)","2026-04-27T15:19:29Z","claude-opus-4-7-training-knowledge+http-verify"
"cairo-graphics-library","cpp","B","freedesktop-unofficial-mirror/cairo","https://gitlab.freedesktop.org/cairo/cairo.git","True","0.70","0.70","true","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","freedesktop-unofficial-mirror is a recognised mirror org for fdo projects (verified). Canonical: gitlab.freedesktop.org/cairo/cairo.","","2026-04-27T15:19:29Z","claude-opus-4-7-training-knowledge+http-verify"
"cpio","cpp","C","","https://git.savannah.gnu.org/git/cpio.git","True","0.40","0.70","true","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","GNU cpio on Savannah.","git ls-remote failed; URL blanked | URL restored after retest; valid-but-slow git endpoint (Savannah/SourceForge)","2026-04-27T15:53:22Z","claude-opus-4-7-training-knowledge+http-verify"
"dbus","cpp","B","","https://gitlab.freedesktop.org/dbus/dbus.git","True","0.40","0.40","","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","LLM picked d-bus/dbus but the canonical fdo project does not have a definitive GH mirror I can confidently identify.","","2026-04-27T15:19:29Z","claude-opus-4-7-training-knowledge+http-verify"
"dconf","cpp","C","GNOME/dconf","https://github.com/GNOME/dconf.git","False","0.85","0.85","true","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","GNOME dconf mirror.","","2026-04-27T15:53:22Z","claude-opus-4-7-training-knowledge+http-verify"
"diffutils","cpp","C","","https://git.savannah.gnu.org/git/diffutils.git","True","0.40","0.70","true","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","GNU diffutils on Savannah.","git ls-remote failed; URL blanked | URL restored after retest; valid-but-slow git endpoint (Savannah/SourceForge)","2026-04-27T15:53:22Z","claude-opus-4-7-training-knowledge+http-verify"
"fftw","cpp","C","FFTW/fftw3","https://github.com/FFTW/fftw3.git","False","0.92","0.92","true","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","FFTW3 official.","","2026-04-27T15:53:22Z","claude-opus-4-7-training-knowledge+http-verify"
"findutils","cpp","C","","https://git.savannah.gnu.org/git/findutils.git","True","0.40","0.70","true","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","GNU findutils on Savannah.","git ls-remote failed; URL blanked | URL restored after retest; valid-but-slow git endpoint (Savannah/SourceForge)","2026-04-27T15:53:22Z","claude-opus-4-7-training-knowledge+http-verify"
"fontconfig","cpp","B","fontconfig/fontconfig","https://gitlab.freedesktop.org/fontconfig/fontconfig.git","True","0.85","0.85","true","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","HTTP-verified. github.com/fontconfig/fontconfig is the project's official-org GH mirror of gitlab.freedesktop.org/fontconfig/fontconfig.","","2026-04-27T15:19:29Z","claude-opus-4-7-training-knowledge+http-verify"
"freetds","cpp","C","FreeTDS/freetds","https://github.com/FreeTDS/freetds.git","False","0.92","0.92","true","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","FreeTDS official.","","2026-04-27T15:53:22Z","claude-opus-4-7-training-knowledge+http-verify"
"gdbm","cpp","B","","https://git.gnu.org.ua/gdbm.git","True","0.40","0.40","","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","GNU gdbm at git.gnu.org.ua. LLM picked distrotech/gdbm — a packaging org, not authoritative. Leaving empty.","","2026-04-27T15:19:29Z","claude-opus-4-7-training-knowledge+http-verify"
"gdk-pixbuf","cpp","B","GNOME/gdk-pixbuf","https://gitlab.gnome.org/gnome/gdk-pixbuf.git","True","0.85","0.85","true","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","HTTP-verified. GNOME/* on GitHub auto-mirrors gitlab.gnome.org/GNOME/*. Canonical: gitlab.gnome.org/GNOME/gdk-pixbuf.","","2026-04-27T15:19:29Z","claude-opus-4-7-training-knowledge+http-verify"
"giflib","cpp","B","","https://git.code.sf.net/p/giflib/code","True","0.30","0.30","","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","Canonical at sourceforge git. LLM picked nesbox/giflib (personal, low conf). Leaving empty.","","2026-04-27T15:19:29Z","claude-opus-4-7-training-knowledge+http-verify"
"glib","cpp","B","GNOME/glib","https://gitlab.gnome.org/gnome/glib.git","True","0.90","0.90","true","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","HTTP-verified. GNOME's official GitHub auto-mirror. Canonical: gitlab.gnome.org/GNOME/glib.","","2026-04-27T15:19:29Z","claude-opus-4-7-training-knowledge+http-verify"
"glibc","cpp","A","bminor/glibc","https://sourceware.org/git/glibc.git","True","0.90","0.90","true","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","HTTP-verified. Roland McGrath / Carlos O'Donell maintain glibc; bminor/glibc is the well-known unofficial mirror updated daily from sourceware. Canonical: sourceware.org/git/glibc.git.","","2026-04-27T15:19:29Z","claude-opus-4-7-training-knowledge+http-verify"
"gmp","cpp","A","gmp-mirror/gmp","","True","0.65","0.65","true","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","HTTP-verified. gmp-mirror/gmp follows the autotools-mirror naming convention. Canonical is gmplib.org Mercurial — unusual for this table; included for completeness.","non-git VCS (Mercurial/Bazaar/Fossil)","2026-04-27T15:19:29Z","claude-opus-4-7-training-knowledge+http-verify"
"gnumpc","cpp","B","","https://gitlab.inria.fr/mpc/mpc.git","True","0.30","0.30","","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","GNU MPC at gitlab.inria.fr/mpc/mpc. No widely-known GH mirror.","","2026-04-27T15:19:29Z","claude-opus-4-7-training-knowledge+http-verify"
"gnutls","cpp","B","gnutls/gnutls","https://gitlab.com/gnutls/gnutls.git","True","0.85","0.85","true","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","HTTP-verified. gnutls org owns its mirror on GitHub. Canonical: gitlab.com/gnutls/gnutls.","","2026-04-27T15:19:29Z","claude-opus-4-7-training-knowledge+http-verify"
"go","cpp","C","golang/go","https://github.com/golang/go.git","False","0.99","0.99","true","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","GitHub IS canonical for Go.","","2026-04-27T15:53:22Z","claude-opus-4-7-training-knowledge+http-verify"
"gobject-introspection","cpp","C","GNOME/gobject-introspection","https://github.com/GNOME/gobject-introspection.git","False","0.85","0.85","true","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","GNOME gobject-introspection mirror.","","2026-04-27T15:53:22Z","claude-opus-4-7-training-knowledge+http-verify"
"gpgme","cpp","C","gpg/gpgme","https://github.com/gpg/gpgme.git","True","0.45","0.75","true","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","GnuPG project at git.gnupg.org.","GitHub mirror used (git.gnupg.org HTTPS smart-http unreliable)","2026-04-27T15:53:22Z","claude-opus-4-7-training-knowledge+http-verify"
"grep","cpp","C","","https://git.savannah.gnu.org/git/grep.git","True","0.40","0.70","true","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","GNU grep on Savannah.","git ls-remote failed; URL blanked | URL restored after retest; valid-but-slow git endpoint (Savannah/SourceForge)","2026-04-27T15:53:22Z","claude-opus-4-7-training-knowledge+http-verify"
"groff","cpp","C","","https://git.savannah.gnu.org/git/groff.git","True","0.40","0.70","true","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","GNU groff on Savannah.","git ls-remote failed; URL blanked | URL restored after retest; valid-but-slow git endpoint (Savannah/SourceForge)","2026-04-27T15:53:22Z","claude-opus-4-7-training-knowledge+http-verify"
"grub","cpp","C","","https://git.savannah.gnu.org/git/grub.git","True","0.40","0.70","true","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","GNU GRUB on Savannah.","git ls-remote failed; URL blanked | URL restored after retest; valid-but-slow git endpoint (Savannah/SourceForge)","2026-04-27T15:53:22Z","claude-opus-4-7-training-knowledge+http-verify"
"gtk","cpp","C","GNOME/gtk","https://github.com/GNOME/gtk.git","False","0.90","0.90","true","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","GNOME GTK mirror.","","2026-04-27T15:53:22Z","claude-opus-4-7-training-knowledge+http-verify"
"guile","cpp","C","","https://git.savannah.gnu.org/git/guile.git","True","0.40","0.70","true","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","GNU Guile on Savannah.","git ls-remote failed; URL blanked | URL restored after retest; valid-but-slow git endpoint (Savannah/SourceForge)","2026-04-27T15:53:22Z","claude-opus-4-7-training-knowledge+http-verify"
"gzip","cpp","C","","https://git.savannah.gnu.org/git/gzip.git","True","0.40","0.70","true","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","GNU gzip on Savannah.","git ls-remote failed; URL blanked | URL restored after retest; valid-but-slow git endpoint (Savannah/SourceForge)","2026-04-27T15:53:22Z","claude-opus-4-7-training-knowledge+http-verify"
"iptables","cpp","C","","https://git.netfilter.org/iptables/","True","0.75","0.75","","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","Netfilter project.","","2026-04-27T15:53:22Z","claude-opus-4-7-training-knowledge+http-verify"
"isl","cpp","B","","https://repo.or.cz/isl.git","True","0.30","0.35","true","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","isl at repo.or.cz. LLM picked serge-sans-paille/isl — personal account, not authoritative. Leaving empty.","git ls-remote failed; URL blanked | URL restored after retest; valid-but-slow git endpoint (Savannah/SourceForge)","2026-04-27T15:19:29Z","claude-opus-4-7-training-knowledge+http-verify"
"json-glib","cpp","C","GNOME/json-glib","https://github.com/GNOME/json-glib.git","False","0.85","0.85","true","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","GNOME json-glib mirror.","","2026-04-27T15:53:22Z","claude-opus-4-7-training-knowledge+http-verify"
"kbd","cpp","C","legionus/kbd","https://github.com/legionus/kbd.git","False","0.65","0.65","true","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","Linux console kbd; uncertain canonical.","","2026-04-27T15:53:22Z","claude-opus-4-7-training-knowledge+http-verify"
"kmod","cpp","C","","https://git.kernel.org/pub/scm/utils/kernel/kmod/kmod.git/","True","0.75","0.75","","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","Linux kmod on kernel.org.","","2026-04-27T15:53:22Z","claude-opus-4-7-training-knowledge+http-verify"
"lapack","cpp","C","Reference-LAPACK/lapack","https://github.com/Reference-LAPACK/lapack.git","False","0.92","0.92","true","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","Reference LAPACK.","","2026-04-27T15:53:22Z","claude-opus-4-7-training-knowledge+http-verify"
"libassuan","cpp","C","gpg/libassuan","https://github.com/gpg/libassuan.git","True","0.45","0.75","true","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","GnuPG libassuan.","GitHub mirror used (git.gnupg.org HTTPS smart-http unreliable)","2026-04-27T15:53:22Z","claude-opus-4-7-training-knowledge+http-verify"
"libbluray","cpp","C","","https://code.videolan.org/videolan/libbluray.git","True","0.75","0.75","","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","VideoLAN libbluray.","","2026-04-27T15:53:22Z","claude-opus-4-7-training-knowledge+http-verify"
"libbsd","cpp","C","","https://gitlab.freedesktop.org/libbsd/libbsd.git","True","0.80","0.80","","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","freedesktop libbsd.","","2026-04-27T15:53:22Z","claude-opus-4-7-training-knowledge+http-verify"
"libcap","cpp","C","","https://git.kernel.org/pub/scm/libs/libcap/libcap.git/","True","0.80","0.80","","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","Linux libcap on kernel.org.","","2026-04-27T15:53:22Z","claude-opus-4-7-training-knowledge+http-verify"
"libev","cpp","C","enki/libev","https://github.com/enki/libev.git","False","0.55","0.55","true","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","Marc Lehmann's libev; canonical at schmorp.de.","","2026-04-27T15:53:22Z","claude-opus-4-7-training-knowledge+http-verify"
"libgcrypt","cpp","C","gpg/libgcrypt","https://github.com/gpg/libgcrypt.git","False","0.75","0.75","true","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","GnuPG libgcrypt; gpg/ org.","","2026-04-27T15:53:22Z","claude-opus-4-7-training-knowledge+http-verify"
"libgpg-error","cpp","B","gpg/libgpg-error","https://github.com/gpg/libgpg-error.git","True","0.35","0.65","true","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","HTTP-verified. GnuPG project. Canonical at git.gnupg.org.","GitHub mirror used (git.gnupg.org HTTPS smart-http unreliable)","2026-04-27T15:19:29Z","claude-opus-4-7-training-knowledge+http-verify"
"libice","cpp","C","","https://gitlab.freedesktop.org/xorg/lib/libice.git","True","0.85","0.85","","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","X.Org libICE.","","2026-04-27T15:53:22Z","claude-opus-4-7-training-knowledge+http-verify"
"libidn2","cpp","B","libidn/libidn2","https://gitlab.com/libidn/libidn2.git","True","0.85","0.85","true","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","HTTP-verified. libidn org owns its mirror. Canonical: gitlab.com/libidn/libidn2.","","2026-04-27T15:19:29Z","claude-opus-4-7-training-knowledge+http-verify"
"libksba","cpp","C","gpg/libksba","https://github.com/gpg/libksba.git","True","0.45","0.75","true","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","GnuPG libksba.","GitHub mirror used (git.gnupg.org HTTPS smart-http unreliable)","2026-04-27T15:53:22Z","claude-opus-4-7-training-knowledge+http-verify"
"libmd","cpp","C","","https://gitlab.freedesktop.org/libbsd/libmd.git","True","0.75","0.75","","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","libmd in libbsd group.","","2026-04-27T15:53:22Z","claude-opus-4-7-training-knowledge+http-verify"
"libmnl","cpp","C","","https://git.netfilter.org/libmnl/","True","0.80","0.80","","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","Netfilter libmnl.","","2026-04-27T15:53:22Z","claude-opus-4-7-training-knowledge+http-verify"
"libnetfilter-conntrack","cpp","C","","https://git.netfilter.org/libnetfilter_conntrack/","True","0.80","0.80","","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","Netfilter conntrack lib.","","2026-04-27T15:53:22Z","claude-opus-4-7-training-knowledge+http-verify"
"libpciaccess","cpp","C","","https://gitlab.freedesktop.org/xorg/lib/libpciaccess.git","True","0.85","0.85","","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","X.Org libpciaccess.","","2026-04-27T15:53:22Z","claude-opus-4-7-training-knowledge+http-verify"
"libpipeline","cpp","C","","https://gitlab.com/cjwatson/libpipeline","True","0.65","0.65","","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","Colin Watson's libpipeline.","","2026-04-27T15:53:22Z","claude-opus-4-7-training-knowledge+http-verify"
"libpthread-stubs","cpp","C","","https://gitlab.freedesktop.org/xorg/lib/pthread-stubs.git","True","0.80","0.80","","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","X.Org libpthread-stubs.","","2026-04-27T15:53:22Z","claude-opus-4-7-training-knowledge+http-verify"
"libsemanage","cpp","C","SELinuxProject/selinux","https://github.com/SELinuxProject/selinux.git","False","0.85","0.85","true","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","SELinux project mono-repo.","","2026-04-27T15:53:22Z","claude-opus-4-7-training-knowledge+http-verify"
"libsepol","cpp","C","SELinuxProject/selinux","https://github.com/SELinuxProject/selinux.git","False","0.85","0.85","true","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","SELinux project mono-repo.","","2026-04-27T15:53:22Z","claude-opus-4-7-training-knowledge+http-verify"
"libsm","cpp","C","","https://gitlab.freedesktop.org/xorg/lib/libsm.git","True","0.85","0.85","","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","X.Org libSM.","","2026-04-27T15:53:22Z","claude-opus-4-7-training-knowledge+http-verify"
"libtasn1","cpp","B","gnutls/libtasn1","https://gitlab.com/gnutls/libtasn1.git","True","0.85","0.85","true","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","HTTP-verified. gnutls org also owns libtasn1 mirror. Canonical: gitlab.com/gnutls/libtasn1.","","2026-04-27T15:19:29Z","claude-opus-4-7-training-knowledge+http-verify"
"libthai","cpp","C","tlwg/libthai","https://github.com/tlwg/libthai.git","False","0.75","0.75","true","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","Thai Linux Working Group's libthai.","","2026-04-27T15:53:22Z","claude-opus-4-7-training-knowledge+http-verify"
"libtool","cpp","B","autotools-mirror/libtool","https://git.savannah.gnu.org/git/libtool.git","True","0.62","0.92","true","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","HTTP-verified. autotools-mirror org. Canonical: git.savannah.gnu.org/cgit/libtool.git.","git ls-remote failed; URL blanked | URL restored after retest; valid-but-slow git endpoint (Savannah/SourceForge)","2026-04-27T15:19:29Z","claude-opus-4-7-training-knowledge+http-verify"
"libunistring","cpp","B","","https://git.savannah.gnu.org/git/libunistring.git","True","0.30","0.30","true","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","GNU libunistring on Savannah. LLM picked gnosis/libunistring (personal, not authoritative). Leaving empty.","git ls-remote failed; URL blanked | URL restored after retest; valid-but-slow git endpoint (Savannah/SourceForge)","2026-04-27T15:19:29Z","claude-opus-4-7-training-knowledge+http-verify"
"libvorbis","cpp","C","","https://gitlab.xiph.org/xiph/vorbis.git","True","0.85","0.85","","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","Xiph Vorbis.","","2026-04-27T15:53:22Z","claude-opus-4-7-training-knowledge+http-verify"
"libx11","cpp","B","","https://gitlab.freedesktop.org/xorg/lib/libx11.git","True","0.30","0.30","","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","X.Org core lib at gitlab.freedesktop.org/xorg/lib/libx11. LLM picked mirror/libx11 — vague org name; not confident.","","2026-04-27T15:19:29Z","claude-opus-4-7-training-knowledge+http-verify"
"libxau","cpp","B","","https://gitlab.freedesktop.org/xorg/lib/libxau.git","True","0.30","0.30","","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","X.Org lib; no confident GH mirror.","","2026-04-27T15:19:29Z","claude-opus-4-7-training-knowledge+http-verify"
"libxaw","cpp","C","","https://gitlab.freedesktop.org/xorg/lib/libxaw.git","True","0.85","0.85","","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","X.Org libXaw.","","2026-04-27T15:53:22Z","claude-opus-4-7-training-knowledge+http-verify"
"libxcb","cpp","B","gitlab-freedesktop-mirrors/libxcb","https://gitlab.freedesktop.org/xorg/lib/libxcb.git","True","0.65","0.65","true","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","HTTP-verified. fdo mirror org on GitHub.","","2026-04-27T15:19:29Z","claude-opus-4-7-training-knowledge+http-verify"
"libxcursor","cpp","C","","https://gitlab.freedesktop.org/xorg/lib/libxcursor.git","True","0.85","0.85","","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","X.Org libXcursor.","","2026-04-27T15:53:22Z","claude-opus-4-7-training-knowledge+http-verify"
"libxdmcp","cpp","B","","https://gitlab.freedesktop.org/xorg/lib/libxdmcp.git","True","0.30","0.30","","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","X.Org lib; no confident GH mirror.","","2026-04-27T15:19:29Z","claude-opus-4-7-training-knowledge+http-verify"
"libxext","cpp","B","","https://gitlab.freedesktop.org/xorg/lib/libxext.git","True","0.30","0.30","","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","X.Org lib; no confident GH mirror.","","2026-04-27T15:19:29Z","claude-opus-4-7-training-knowledge+http-verify"
"libxfixes","cpp","C","","https://gitlab.freedesktop.org/xorg/lib/libxfixes.git","True","0.85","0.85","","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","X.Org libXfixes.","","2026-04-27T15:53:22Z","claude-opus-4-7-training-knowledge+http-verify"
"libxi","cpp","C","","https://gitlab.freedesktop.org/xorg/lib/libxi.git","True","0.85","0.85","","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","X.Org libXi.","","2026-04-27T15:53:22Z","claude-opus-4-7-training-knowledge+http-verify"
"libxinerama","cpp","C","","https://gitlab.freedesktop.org/xorg/lib/libxinerama.git","True","0.85","0.85","","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","X.Org libXinerama.","","2026-04-27T15:53:22Z","claude-opus-4-7-training-knowledge+http-verify"
"libxml2","cpp","B","GNOME/libxml2","https://gitlab.gnome.org/gnome/libxml2.git","True","0.90","0.90","true","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","HTTP-verified. GNOME GitHub auto-mirror. Canonical: gitlab.gnome.org/GNOME/libxml2.","","2026-04-27T15:19:29Z","claude-opus-4-7-training-knowledge+http-verify"
"libxmu","cpp","C","","https://gitlab.freedesktop.org/xorg/lib/libxmu.git","True","0.85","0.85","","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","X.Org libXmu.","","2026-04-27T15:53:22Z","claude-opus-4-7-training-knowledge+http-verify"
"libxpm","cpp","C","","https://gitlab.freedesktop.org/xorg/lib/libxpm.git","True","0.85","0.85","","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","X.Org libXpm.","","2026-04-27T15:53:22Z","claude-opus-4-7-training-knowledge+http-verify"
"libxrandr","cpp","C","","https://gitlab.freedesktop.org/xorg/lib/libxrandr.git","True","0.85","0.85","","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","X.Org libXrandr.","","2026-04-27T15:53:22Z","claude-opus-4-7-training-knowledge+http-verify"
"libxrender","cpp","B","","https://gitlab.freedesktop.org/xorg/lib/libxrender.git","True","0.30","0.30","","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","X.Org lib; no confident GH mirror.","","2026-04-27T15:19:29Z","claude-opus-4-7-training-knowledge+http-verify"
"libxt","cpp","C","","https://gitlab.freedesktop.org/xorg/lib/libxt.git","True","0.85","0.85","","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","X.Org libXt.","","2026-04-27T15:53:22Z","claude-opus-4-7-training-knowledge+http-verify"
"libxtst","cpp","C","","https://gitlab.freedesktop.org/xorg/lib/libxtst.git","True","0.85","0.85","","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","X.Org libXtst.","","2026-04-27T15:53:22Z","claude-opus-4-7-training-knowledge+http-verify"
"libxv","cpp","C","","https://gitlab.freedesktop.org/xorg/lib/libxv.git","True","0.85","0.85","","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","X.Org libXv.","","2026-04-27T15:53:22Z","claude-opus-4-7-training-knowledge+http-verify"
